t,output
0.843,0.69519144
0.844,0.6965309
0.845,0.6978696
0.846,0.69920766
0.847,0.700545
0.848,0.7018817
0.849,0.7032177
0.85,0.70455295
0.851,0.70588744
0.852,0.7072212
0.853,0.70855427
0.854,0.70988655
0.855,0.7112181
0.856,0.7125489
0.857,0.7138789
0.858,0.7152082
0.859,0.71653664
0.86,0.71786433
0.861,0.71919125
0.862,0.72051734
0.863,0.72184265
0.864,0.7231671
0.865,0.72449076
0.866,0.72581357
0.867,0.72713554
0.868,0.7284567
0.869,0.729777
0.87,0.7310964
0.871,0.73241496
0.872,0.73373264
0.873,0.7350495
0.874,0.73636544
0.875,0.7376805
0.876,0.73899466
0.877,0.7403079
0.878,0.74162024
0.879,0.74293166
0.88,0.74424213
0.881,0.7455517
0.882,0.7468603
0.883,0.748168
0.884,0.7494747
0.885,0.75078046
0.886,0.75208527
0.887,0.75338906
0.888,0.7546919
0.889,0.7559937
0.89,0.75729454
0.891,0.7585944
0.892,0.75989324
0.893,0.76119107
0.894,0.7624879
0.895,0.76378363
0.896,0.76507837
0.897,0.7663721
0.898,0.76766473
0.899,0.7689563
0.9,0.7702468
0.901,0.77153623
0.902,0.7728246
0.903,0.77411187
0.904,0.7753981
0.905,0.7766832
0.906,0.7779672
0.907,0.77925014
0.908,0.78053194
0.909,0.7818126
0.91,0.78309214
0.911,0.78437054
0.912,0.7856478
0.913,0.78692394
0.914,0.7881989
0.915,0.7894727
0.916,0.7907453
0.917,0.7920168
0.918,0.7932871
0.919,0.7945562
0.92,0.7958241
0.921,0.7970908
0.922,0.79835635
0.923,0.7996206
0.924,0.8008837
0.925,0.80214554
0.926,0.8034062
0.927,0.80466557
0.928,0.8059237
0.929,0.8071806
0.93,0.8084362
0.931,0.8096906
0.932,0.8109437
0.933,0.81219554
0.934,0.8134461
0.935,0.81469536
0.936,0.8159433
0.937,0.81719
0.938,0.8184354
0.939,0.81967944
0.94,0.8209222
0.941,0.8221636
0.942,0.82340366
0.943,0.8246424
0.944,0.8258798
0.945,0.82711583
0.946,0.82835054
0.947,0.8295839
0.948,0.83081585
0.949,0.83204645
0.95,0.8332757
0.951,0.8345035
0.952,0.8357299
0.953,0.83695495
0.954,0.8381786
0.955,0.8394008
0.956,0.84062165
0.957,0.84184104
0.958,0.843059
0.959,0.84427553
0.96,0.84549063
0.961,0.8467043
0.962,0.8479165
0.963,0.84912723
0.964,0.8503365
0.965,0.8515443
0.966,0.85275066
0.967,0.8539555
0.968,0.85515887
0.969,0.85636073
0.97,0.8575611
0.971,0.85876
0.972,0.85995734
0.973,0.8611532
0.974,0.86234754
0.975,0.86354035
0.976,0.8647316
0.977,0.8659213
0.978,0.86710954
0.979,0.8682962
0.98,0.8694813
0.981,0.87066483
0.982,0.8718468
0.983,0.8730272
0.984,0.874206
0.985,0.87538326
0.986,0.8765589
0.987,0.87773293
0.988,0.8789054
0.989,0.8800763
0.99,0.88124555
0.991,0.8824132
0.992,0.8835792
0.993,0.8847436
0.994,0.88590634
0.995,0.88706744
0.996,0.8882269
0.997,0.88938475
0.998,0.8905409
0.999,0.89169544
1,0.8928483
1.001,0.8939995
1.002,0.89514905
1.003,0.89629686
1.004,0.897443
1.005,0.89858747
1.006,0.8997302
1.007,0.9008713
1.008,0.9020106
1.009,0.90314823
1.01,0.9042842
1.011,0.9054184
1.012,0.9065509
1.013,0.90768164
1.014,0.9088107
1.015,0.9099379
1.016,0.91106343
1.017,0.9121872
1.018,0.9133092
1.019,0.9144295
1.02,0.91554797
1.021,0.91666466
1.022,0.91777956
1.023,0.9188927
1.024,0.920004
1.025,0.92111355
1.026,0.9222213
1.027,0.92332727
1.028,0.92443144
1.029,0.9255338
1.03,0.9266343
1.031,0.927733
1.032,0.9288299
1.033,0.92992496
1.034,0.9310182
1.035,0.93210953
1.036,0.93319905
1.037,0.9342867
1.038,0.93537253
1.039,0.9364565
1.04,0.93753856
1.041,0.9386188
1.042,0.93969715
1.043,0.9407736
1.044,0.94184816
1.045,0.94292086
1.046,0.94399166
1.047,0.94506055
1.048,0.94612753
1.049,0.9471926
1.05,0.9482558
1.051,0.94931704
1.052,0.9503764
1.053,0.9514338
1.054,0.95248926
1.055,0.9535428
1.056,0.95459443
1.057,0.9556441
1.058,0.9566918
1.059,0.95773757
1.06,0.95878136
1.061,0.9598232
1.062,0.96086305
1.063,0.96190095
1.064,0.9629369
1.065,0.96397084
1.066,0.96500283
1.067,0.9660328
1.068,0.9670608
1.069,0.9680868
1.07,0.9691108
1.071,0.97013277
1.072,0.9711528
1.073,0.97217077
1.074,0.97318673
1.075,0.97420067
1.076,0.9752126
1.077,0.97622246
1.078,0.9772303
1.079,0.97823614
1.08,0.9792399
1.081,0.9802416
1.082,0.9812413
1.083,0.9822389
1.084,0.98323447
1.085,0.98422796
1.086,0.98521936
1.087,0.98620874
1.088,0.987196
1.089,0.98818123
1.09,0.98916435
1.091,0.9901454
